source_id,stream,doi,year,title,authors,decision,reason_code,analysis_level,license,redistribution_status,query_stream,notes
B01-S19,S7,10.1007/s13202-019-0740-8,2019,Determining the optimum concentration of multiwalled carbon nanotubes as filtrate loss additive in field-applicable mud systems,"Okoro, Emeka E.; Zuokumor, Anita A.; Okafor, Ikechukwu S.; Igwilo, Kevin C.; Orodu, Kale B.",include,,abstract,unknown_verify_oa,unknown,S7,s7_batch; machine_extracted
B01-S20,S7,10.1149/2162-8777/abbb9f,2020,Novel Research on CuONPs/MWCNTs Effect on the Properties of Na-Bentonite Water Based Drilling Muds with Experimental Study,"Ozkan, Abdullah; Ozkan, Vildan",include,,abstract,unknown,unknown,S7,s7_batch; machine_extracted
B01-S21,S7,10.1080/10916466.2022.2048014,2022,Characterization of nano based drilling fluid for shale swelling inhibition,"Abbas, Muhammad Adeem; Zamir, Asif; Elraies, Khaled Abdalla; Mahmood, Syed Mohammad; Aslfattahi, Navid; Saidur, R.; Ahmad, Maqsood; Rasool, Muhammad Hammad",include,,abstract,unknown_tandf,restricted,S7,s7_batch; machine_extracted
B01-S22,S7,10.1016/j.colsurfa.2017.10.010,2018,Stable pickering emulsions using multi-walled carbon nanotubes of varying wettability,"Briggs, Nicholas; Raman, Ashwin Kumar Yegya; Barrett, Lawrence; Brown, Chase; Li, Brian; Leavitt, Devlin; Aichele, Clint P.; Crossley, Steven",include,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S23,S7,10.1016/j.jngse.2019.103082,2020,Improving the stability of multi-walled carbon nano-tubes in extremely environments: Applications as nano-plugging additives in drilling fluids,"Ma, Lan; Luo, Pingya; He, Yi; Zhang, Liyun; Fan, Yi; Jiang, Zhenju",maybe,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S24,S7,10.1016/j.petrol.2019.106257,2019,"A comprehensive empirical, analytical and tomographic investigation on rheology and formation damage behavior of a novel nano-modified invert emulsion drilling fluid","Hajiabadi, Seyed Hasan; Aghaei, Hamed; Kalateh-Aghamohammadi, Mina; Sanati, Ali; Kazemi-Beydokhti, Amin; Esmaeilzadeh, Feridun",maybe,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S25,S7,10.1016/j.colsurfa.2018.07.058,2018,Rheological investigation of smart polymer/carbon nanotube complex on properties of water-based drilling fluids,"Kazemi-Beydokhti, Amin; Hajiabadi, Seyed Hasan",maybe,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S26,S7,10.1016/j.powtec.2018.10.016,2019,Rheology of a colloidal suspension of carbon nanotube particles in a water-based drilling fluid,"Anoop, Kanjirakat; Sadr, Reza; Yrac, Rommel; Amani, Mahmood",maybe,inaccessible_fulltext,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S27,S7,10.1016/j.petrol.2020.107006,2020,Experimental evaluation of nanomaterials to improve drilling fluid properties of water-based muds HP/HT applications,"Sajjadian, Majid; Sajjadian, Vali Ahmad; Rashidi, Alimorad",maybe,insufficient_metadata,metadata_only,unknown_elsevier,restricted,S7,s7_batch; machine_extracted
B01-S28,S7,10.1021/acsomega.4c04177,2024,Application of Hydrothermal Synthesized Titanium Dioxide-Doped Multiwalled Carbon Nanotubes on Filtration Properties-Response Surface Methodology Study,"Khan, Muhammad Arqam; Lalji, Shaine Mohammadali; Ali, Syed Imran; Li, Mei-Chun; Burney, Muneeb",maybe,other,abstract,cc-by-nc-nd,restricted,S7,s7_batch; machine_extracted
